MedName,LightSen,Date,StockOut,StockIn,Stock
Ceftriaxone Actavis 1 g,No,18/04/2015,-11,5,232
Ceftriaxone Actavis 1 g,No,19/04/2015,-7,10,235
Ceftriaxone Actavis 1 g,No,20/04/2015,-6,15,244
Ceftriaxone Actavis 1 g,No,21/04/2015,-1,0,243
Ceftriaxone Actavis 1 g,No,22/04/2015,-15,15,243
Ceftriaxone Actavis 1 g,No,23/04/2015,-5,0,238
Ceftriaxone Actavis 1 g,No,24/04/2015,-5,5,238
Ceftriaxone Actavis 1 g,No,25/04/2015,-6,5,237
Ceftriaxone Actavis 1 g,No,26/04/2015,0,10,247
Ceftriaxone Actavis 1 g,No,27/04/2015,-12,10,245
Ceftriaxone Actavis 1 g,No,28/04/2015,-7,5,243
Ceftriaxone Actavis 1 g,No,29/04/2015,-8,10,245
Ceftriaxone Actavis 1 g,No,30/04/2015,-8,10,247
Ceftriaxone Actavis 1 g,No,1/05/2015,-12,10,245
Ceftriaxone Actavis 1 g,No,2/05/2015,-7,10,248
Ceftriaxone Actavis 1 g,No,3/05/2015,-3,5,250
Ceftriaxone Actavis 1 g,No,4/05/2015,-10,15,255
Ceftriaxone Actavis 1 g,No,5/05/2015,-12,0,243
Ceftriaxone Actavis 1 g,No,6/05/2015,-7,10,246
Ceftriaxone Actavis 1 g,No,7/05/2015,-7,0,239
Ceftriaxone Actavis 1 g,No,8/05/2015,-11,15,243
Ceftriaxone Actavis 1 g,No,9/05/2015,-13,5,235
Ceftriaxone Actavis 1 g,No,10/05/2015,-4,0,231
Ceftriaxone Actavis 1 g,No,11/05/2015,-1,10,240
Ceftriaxone Actavis 1 g,No,12/05/2015,-2,5,243
Ceftriaxone Actavis 1 g,No,13/05/2015,-11,10,242
Ceftriaxone Actavis 1 g,No,14/05/2015,-10,5,237
Ceftriaxone Actavis 1 g,No,15/05/2015,-7,0,230
Ceftriaxone Actavis 1 g,No,16/05/2015,-10,15,235
Ceftriaxone Actavis 1 g,No,17/05/2015,-12,0,223
Ceftriaxone Actavis 1 g,No,18/05/2015,-10,5,218
Ceftriaxone Actavis 1 g,No,19/05/2015,-13,10,215
Ceftriaxone Actavis 1 g,No,20/05/2015,-2,0,213
Ceftriaxone Actavis 1 g,No,21/05/2015,-13,0,200
Ceftriaxone Actavis 1 g,No,22/05/2015,-13,10,197
Ceftriaxone Actavis 1 g,No,23/05/2015,-6,10,201
Ceftriaxone Actavis 1 g,No,24/05/2015,-2,10,209
Ceftriaxone Actavis 1 g,No,25/05/2015,0,0,209
Ceftriaxone Actavis 1 g,No,26/05/2015,-6,15,218
Ceftriaxone Actavis 1 g,No,27/05/2015,-11,15,222
Ceftriaxone Actavis 1 g,No,28/05/2015,-10,0,212
Ceftriaxone Actavis 1 g,No,29/05/2015,-5,10,217
Ceftriaxone Actavis 1 g,No,30/05/2015,-5,0,212
Ceftriaxone Actavis 1 g,No,31/05/2015,-9,10,213
Ceftriaxone Actavis 1 g,No,1/06/2015,-7,15,221
Ceftriaxone Actavis 1 g,No,2/06/2015,-3,5,223
Ceftriaxone Actavis 1 g,No,3/06/2015,-12,5,216
Ceftriaxone Actavis 1 g,No,4/06/2015,-12,15,219
Ceftriaxone Actavis 1 g,No,5/06/2015,0,0,219
Ceftriaxone Actavis 1 g,No,6/06/2015,-12,10,217
Ceftriaxone Actavis 1 g,No,7/06/2015,-2,0,215
Ceftriaxone Actavis 1 g,No,8/06/2015,-9,0,206
Ceftriaxone Actavis 1 g,No,9/06/2015,-4,10,212
Ceftriaxone Actavis 1 g,No,10/06/2015,-9,0,203
Ceftriaxone Actavis 1 g,No,11/06/2015,-1,5,207
Ceftriaxone Actavis 1 g,No,12/06/2015,-5,10,212
Ceftriaxone Actavis 1 g,No,13/06/2015,-5,15,222
Ceftriaxone Actavis 1 g,No,14/06/2015,-14,15,223
Ceftriaxone Actavis 1 g,No,15/06/2015,-7,0,216
Ceftriaxone Actavis 1 g,No,16/06/2015,-1,0,215
Ceftriaxone Actavis 1 g,No,17/06/2015,-6,10,219
Ceftriaxone Actavis 1 g,No,18/06/2015,-15,5,209
Ceftriaxone Actavis 1 g,No,19/06/2015,-1,15,223
Ceftriaxone Actavis 1 g,No,20/06/2015,-3,10,230
Ceftriaxone Actavis 1 g,No,21/06/2015,-2,0,228
Ceftriaxone Actavis 1 g,No,22/06/2015,-3,5,230
Ceftriaxone Actavis 1 g,No,23/06/2015,-8,15,237
Ceftriaxone Actavis 1 g,No,24/06/2015,-4,0,233
Ceftriaxone Actavis 1 g,No,25/06/2015,-10,0,223
Ceftriaxone Actavis 1 g,No,26/06/2015,-14,5,214
Ceftriaxone Actavis 1 g,No,27/06/2015,-3,15,226
Ceftriaxone Actavis 1 g,No,28/06/2015,-8,10,228
Ceftriaxone Actavis 1 g,No,29/06/2015,-7,15,236
Ceftriaxone Actavis 1 g,No,30/06/2015,-9,10,237
Ceftriaxone Actavis 1 g,No,1/07/2015,-13,0,224
Ceftriaxone Actavis 1 g,No,2/07/2015,-10,10,224
Ceftriaxone Actavis 1 g,No,3/07/2015,-8,10,226
Ceftriaxone Actavis 1 g,No,4/07/2015,-5,15,236
Ceftriaxone Actavis 1 g,No,5/07/2015,0,5,241
Ceftriaxone Actavis 1 g,No,6/07/2015,-2,10,249
Ceftriaxone Actavis 1 g,No,7/07/2015,-8,0,241
Ceftriaxone Actavis 1 g,No,8/07/2015,0,10,251
Ceftriaxone Actavis 1 g,No,9/07/2015,-5,15,261
Ceftriaxone Actavis 1 g,No,10/07/2015,-13,5,253
Ceftriaxone Actavis 1 g,No,11/07/2015,-12,0,241
Ceftriaxone Actavis 1 g,No,12/07/2015,0,15,256
Ceftriaxone Actavis 1 g,No,13/07/2015,-1,0,255
Ceftriaxone Actavis 1 g,No,14/07/2015,-13,5,247
Ceftriaxone Actavis 1 g,No,15/07/2015,-11,0,236
Ceftriaxone Actavis 1 g,No,16/07/2015,-6,0,230
Ceftriaxone Actavis 1 g,No,17/07/2015,-7,0,223
Ceftriaxone Actavis 1 g,No,18/07/2015,-1,5,227
Ceftriaxone Actavis 1 g,No,19/07/2015,-1,5,231
Ceftriaxone Actavis 1 g,No,20/07/2015,-12,0,219
Ceftriaxone Actavis 1 g,No,21/07/2015,-9,10,220
Ceftriaxone Actavis 1 g,No,22/07/2015,-13,0,207
Ceftriaxone Actavis 1 g,No,23/07/2015,-7,0,200
Ceftriaxone Actavis 1 g,No,24/07/2015,-4,15,211
Ceftriaxone Actavis 1 g,No,25/07/2015,-9,10,212
Ceftriaxone Actavis 1 g,No,26/07/2015,-1,10,221
Ceftriaxone Actavis 1 g,No,27/07/2015,0,0,221
Ceftriaxone Actavis 1 g,No,28/07/2015,-7,5,219
Ceftriaxone Actavis 1 g,No,29/07/2015,-5,10,224
Ceftriaxone Actavis 1 g,No,30/07/2015,-10,15,229
Ceftriaxone Actavis 1 g,No,31/07/2015,-12,0,217
Ceftriaxone Actavis 1 g,No,1/08/2015,-3,15,229
Ceftriaxone Actavis 1 g,No,2/08/2015,-12,5,222
Ceftriaxone Actavis 1 g,No,3/08/2015,-2,0,220
Ceftriaxone Actavis 1 g,No,4/08/2015,-10,5,215
Ceftriaxone Actavis 1 g,No,5/08/2015,-8,10,217
Ceftriaxone Actavis 1 g,No,6/08/2015,-8,10,219
Ceftriaxone Actavis 1 g,No,7/08/2015,-14,0,205
Ceftriaxone Actavis 1 g,No,8/08/2015,-4,5,206
Ceftriaxone Actavis 1 g,No,9/08/2015,-10,0,196
Ceftriaxone Actavis 1 g,No,10/08/2015,-4,15,207
Ceftriaxone Actavis 1 g,No,11/08/2015,-9,5,203
Ceftriaxone Actavis 1 g,No,12/08/2015,-5,10,208
Ceftriaxone Actavis 1 g,No,13/08/2015,0,15,223
Ceftriaxone Actavis 1 g,No,14/08/2015,-2,15,236
Ceftriaxone Actavis 1 g,No,15/08/2015,-3,0,233
Ceftriaxone Actavis 1 g,No,16/08/2015,-13,0,220
Ceftriaxone Actavis 1 g,No,17/08/2015,-11,5,214
Ceftriaxone Actavis 1 g,No,18/08/2015,-14,15,215
Ceftriaxone Actavis 1 g,No,19/08/2015,-5,10,220
Ceftriaxone Actavis 1 g,No,20/08/2015,-15,0,205
Ceftriaxone Actavis 1 g,No,21/08/2015,-15,15,205
Ceftriaxone Actavis 1 g,No,22/08/2015,0,15,220
Ceftriaxone Actavis 1 g,No,23/08/2015,-6,10,224
Ceftriaxone Actavis 1 g,No,24/08/2015,-6,15,233
Ceftriaxone Actavis 1 g,No,25/08/2015,0,10,243
Ceftriaxone Actavis 1 g,No,26/08/2015,-13,0,230
Ceftriaxone Actavis 1 g,No,27/08/2015,-13,10,227
Ceftriaxone Actavis 1 g,No,28/08/2015,-11,5,221
Ceftriaxone Actavis 1 g,No,29/08/2015,-2,10,229
Ceftriaxone Actavis 1 g,No,30/08/2015,-10,10,229
Ceftriaxone Actavis 1 g,No,31/08/2015,-1,15,243
Ceftriaxone Actavis 1 g,No,1/09/2015,-15,0,228
Ceftriaxone Actavis 1 g,No,2/09/2015,0,0,228
Ceftriaxone Actavis 1 g,No,3/09/2015,0,0,228
Ceftriaxone Actavis 1 g,No,4/09/2015,-11,5,222
Ceftriaxone Actavis 1 g,No,5/09/2015,-2,10,230
Ceftriaxone Actavis 1 g,No,6/09/2015,-8,15,237
Ceftriaxone Actavis 1 g,No,7/09/2015,0,10,247
Ceftriaxone Actavis 1 g,No,8/09/2015,-1,0,246
Ceftriaxone Actavis 1 g,No,9/09/2015,-11,5,240
Ceftriaxone Actavis 1 g,No,10/09/2015,-2,0,238
Ceftriaxone Actavis 1 g,No,11/09/2015,-9,5,234
Ceftriaxone Actavis 1 g,No,12/09/2015,-14,10,230
Ceftriaxone Actavis 1 g,No,13/09/2015,0,0,230
Ceftriaxone Actavis 1 g,No,14/09/2015,-5,5,230
Ceftriaxone Actavis 1 g,No,15/09/2015,-1,10,239
Ceftriaxone Actavis 1 g,No,16/09/2015,-13,15,241
Ceftriaxone Actavis 1 g,No,17/09/2015,-2,10,249
Ceftriaxone Actavis 1 g,No,18/09/2015,-5,0,244
Ceftriaxone Actavis 1 g,No,19/09/2015,-12,5,237
Ceftriaxone Actavis 1 g,No,20/09/2015,-14,5,228
Ceftriaxone Actavis 1 g,No,21/09/2015,-7,0,221
Ceftriaxone Actavis 1 g,No,22/09/2015,-4,0,217
Ceftriaxone Actavis 1 g,No,23/09/2015,-12,15,220
Ceftriaxone Actavis 1 g,No,24/09/2015,-15,5,210
Ceftriaxone Actavis 1 g,No,25/09/2015,-15,5,200
Ceftriaxone Actavis 1 g,No,26/09/2015,-1,0,199
Ceftriaxone Actavis 1 g,No,27/09/2015,-12,15,202
Ceftriaxone Actavis 1 g,No,28/09/2015,-6,5,201
Ceftriaxone Actavis 1 g,No,29/09/2015,-5,0,196
Ceftriaxone Actavis 1 g,No,30/09/2015,-4,0,192
Ceftriaxone Actavis 1 g,No,1/10/2015,-5,15,202
Ceftriaxone Actavis 1 g,No,2/10/2015,-12,15,205
Ceftriaxone Actavis 1 g,No,3/10/2015,-1,15,219
Ceftriaxone Actavis 1 g,No,4/10/2015,0,15,234
Ceftriaxone Actavis 1 g,No,5/10/2015,-15,15,234
Ceftriaxone Actavis 1 g,No,6/10/2015,-2,15,247
Ceftriaxone Actavis 1 g,No,7/10/2015,-10,15,252
Ceftriaxone Actavis 1 g,No,8/10/2015,-13,0,239
Ceftriaxone Actavis 1 g,No,9/10/2015,-5,10,244
Ceftriaxone Actavis 1 g,No,10/10/2015,-3,15,256
Ceftriaxone Actavis 1 g,No,11/10/2015,-14,5,247
Ceftriaxone Actavis 1 g,No,12/10/2015,-3,0,244
Ceftriaxone Actavis 1 g,No,13/10/2015,-1,15,258
Ceftriaxone Actavis 1 g,No,14/10/2015,-7,0,251
Ceftriaxone Actavis 1 g,No,15/10/2015,-11,5,245
Ceftriaxone Actavis 1 g,No,16/10/2015,-11,0,234
Ceftriaxone Actavis 1 g,No,17/10/2015,-2,5,237
Ceftriaxone Actavis 1 g,No,18/10/2015,-12,0,225
Ceftriaxone Actavis 1 g,No,19/10/2015,-9,10,226
Ceftriaxone Actavis 1 g,No,20/10/2015,-11,15,230
Ceftriaxone Actavis 1 g,No,21/10/2015,-3,0,227
Ceftriaxone Actavis 1 g,No,22/10/2015,-8,0,219
Ceftriaxone Actavis 1 g,No,23/10/2015,-2,0,217
Ceftriaxone Actavis 1 g,No,24/10/2015,-4,10,223
Ceftriaxone Actavis 1 g,No,25/10/2015,-3,10,230
Ceftriaxone Actavis 1 g,No,26/10/2015,-14,5,221
Ceftriaxone Actavis 1 g,No,27/10/2015,-13,0,208
Ceftriaxone Actavis 1 g,No,28/10/2015,-2,10,216
Ceftriaxone Actavis 1 g,No,29/10/2015,-14,5,207
Ceftriaxone Actavis 1 g,No,30/10/2015,-5,5,207
Ceftriaxone Actavis 1 g,No,31/10/2015,-15,15,207
Ceftriaxone Actavis 1 g,No,1/11/2015,-9,10,208
Ceftriaxone Actavis 1 g,No,2/11/2015,-13,15,210
Ceftriaxone Actavis 1 g,No,3/11/2015,-1,0,209
Ceftriaxone Actavis 1 g,No,4/11/2015,-7,10,212
Ceftriaxone Actavis 1 g,No,5/11/2015,-8,0,204
Ceftriaxone Actavis 1 g,No,6/11/2015,-11,5,198
Ceftriaxone Actavis 1 g,No,7/11/2015,-14,15,199
Ceftriaxone Actavis 1 g,No,8/11/2015,0,0,199
Ceftriaxone Actavis 1 g,No,9/11/2015,-11,5,193
Ceftriaxone Actavis 1 g,No,10/11/2015,-5,5,193
Ceftriaxone Actavis 1 g,No,11/11/2015,-5,10,198
Ceftriaxone Actavis 1 g,No,12/11/2015,-8,5,195
Ceftriaxone Actavis 1 g,No,13/11/2015,0,10,205
Ceftriaxone Actavis 1 g,No,14/11/2015,-13,10,202
Ceftriaxone Actavis 1 g,No,15/11/2015,-15,5,192
Ceftriaxone Actavis 1 g,No,16/11/2015,-9,10,193
Ceftriaxone Actavis 1 g,No,17/11/2015,0,0,193
Ceftriaxone Actavis 1 g,No,18/11/2015,-9,10,194
Ceftriaxone Actavis 1 g,No,19/11/2015,-7,15,202
Ceftriaxone Actavis 1 g,No,20/11/2015,-9,15,208
Ceftriaxone Actavis 1 g,No,21/11/2015,-13,5,200
Ceftriaxone Actavis 1 g,No,22/11/2015,-6,0,194
Ceftriaxone Actavis 1 g,No,23/11/2015,-15,0,179
Ceftriaxone Actavis 1 g,No,24/11/2015,0,15,194
Ceftriaxone Actavis 1 g,No,25/11/2015,-5,0,189
Ceftriaxone Actavis 1 g,No,26/11/2015,-1,10,198
Ceftriaxone Actavis 1 g,No,27/11/2015,-6,5,197
Ceftriaxone Actavis 1 g,No,28/11/2015,-9,5,193
Ceftriaxone Actavis 1 g,No,29/11/2015,-15,5,183
Ceftriaxone Actavis 1 g,No,30/11/2015,-7,5,181
Ceftriaxone Actavis 1 g,No,1/12/2015,-11,15,185
Ceftriaxone Actavis 1 g,No,2/12/2015,-8,10,187
Ceftriaxone Actavis 1 g,No,3/12/2015,-7,15,195
Ceftriaxone Actavis 1 g,No,4/12/2015,-1,10,204
Ceftriaxone Actavis 1 g,No,5/12/2015,-2,10,212
Ceftriaxone Actavis 1 g,No,6/12/2015,-2,5,215
Ceftriaxone Actavis 1 g,No,7/12/2015,-13,15,217
Ceftriaxone Actavis 1 g,No,8/12/2015,-2,15,230
Ceftriaxone Actavis 1 g,No,9/12/2015,-5,5,230
Ceftriaxone Actavis 1 g,No,10/12/2015,-4,5,231
Ceftriaxone Actavis 1 g,No,11/12/2015,-5,15,241
Ceftriaxone Actavis 1 g,No,12/12/2015,-13,10,238
Ceftriaxone Actavis 1 g,No,13/12/2015,-5,0,233
Ceftriaxone Actavis 1 g,No,14/12/2015,-8,10,235
Ceftriaxone Actavis 1 g,No,15/12/2015,-10,15,240
Ceftriaxone Actavis 1 g,No,16/12/2015,-5,15,250
Ceftriaxone Actavis 1 g,No,17/12/2015,-8,0,242
Ceftriaxone Actavis 1 g,No,18/12/2015,-1,5,246
Ceftriaxone Actavis 1 g,No,19/12/2015,-3,5,248
Ceftriaxone Actavis 1 g,No,20/12/2015,-7,15,256
Ceftriaxone Actavis 1 g,No,21/12/2015,-1,0,255
Ceftriaxone Actavis 1 g,No,22/12/2015,-13,5,247
Ceftriaxone Actavis 1 g,No,23/12/2015,-6,15,256
Ceftriaxone Actavis 1 g,No,24/12/2015,-8,0,248
Ceftriaxone Actavis 1 g,No,25/12/2015,-11,5,242
Ceftriaxone Actavis 1 g,No,26/12/2015,-1,15,256
Ceftriaxone Actavis 1 g,No,27/12/2015,-6,5,255
Ceftriaxone Actavis 1 g,No,28/12/2015,-7,15,263
Ceftriaxone Actavis 1 g,No,29/12/2015,-15,0,248
Ceftriaxone Actavis 1 g,No,30/12/2015,-8,0,240
Ceftriaxone Actavis 1 g,No,31/12/2015,-2,5,243
Cefuroxim Mylan 500 mg,Yes,1/01/2015,-10,80,70
Cefuroxim Mylan 500 mg,Yes,2/01/2015,-13,0,57
Cefuroxim Mylan 500 mg,Yes,3/01/2015,-11,5,51
Cefuroxim Mylan 500 mg,Yes,4/01/2015,-12,10,49
Cefuroxim Mylan 500 mg,Yes,5/01/2015,-3,10,56
Cefuroxim Mylan 500 mg,Yes,6/01/2015,-10,15,61
Cefuroxim Mylan 500 mg,Yes,7/01/2015,-6,15,70
Cefuroxim Mylan 500 mg,Yes,8/01/2015,-9,5,66
Cefuroxim Mylan 500 mg,Yes,9/01/2015,-12,0,54
Cefuroxim Mylan 500 mg,Yes,10/01/2015,-4,5,55
Cefuroxim Mylan 500 mg,Yes,11/01/2015,0,10,65
Cefuroxim Mylan 500 mg,Yes,12/01/2015,-7,0,58
Cefuroxim Mylan 500 mg,Yes,13/01/2015,-5,5,58
Cefuroxim Mylan 500 mg,Yes,14/01/2015,-15,0,43
Cefuroxim Mylan 500 mg,Yes,15/01/2015,-5,10,48
Cefuroxim Mylan 500 mg,Yes,16/01/2015,-12,15,51
Cefuroxim Mylan 500 mg,Yes,17/01/2015,0,0,51
Cefuroxim Mylan 500 mg,Yes,18/01/2015,-9,10,52
Cefuroxim Mylan 500 mg,Yes,19/01/2015,-8,5,49
Cefuroxim Mylan 500 mg,Yes,20/01/2015,-3,5,51
Cefuroxim Mylan 500 mg,Yes,21/01/2015,-2,10,59
Cefuroxim Mylan 500 mg,Yes,22/01/2015,-14,10,55
Cefuroxim Mylan 500 mg,Yes,23/01/2015,-5,5,55
Cefuroxim Mylan 500 mg,Yes,24/01/2015,-8,10,57
Cefuroxim Mylan 500 mg,Yes,25/01/2015,-13,15,59
Cefuroxim Mylan 500 mg,Yes,26/01/2015,-15,10,54
Cefuroxim Mylan 500 mg,Yes,27/01/2015,-7,0,47
Cefuroxim Mylan 500 mg,Yes,28/01/2015,-9,10,48
Cefuroxim Mylan 500 mg,Yes,29/01/2015,-15,15,48
Cefuroxim Mylan 500 mg,Yes,30/01/2015,-5,10,53
Cefuroxim Mylan 500 mg,Yes,31/01/2015,-14,5,44
Cefuroxim Mylan 500 mg,Yes,1/02/2015,-15,15,44
Cefuroxim Mylan 500 mg,Yes,2/02/2015,-5,10,49
Cefuroxim Mylan 500 mg,Yes,3/02/2015,-13,15,51
Cefuroxim Mylan 500 mg,Yes,4/02/2015,-11,10,50
Cefuroxim Mylan 500 mg,Yes,5/02/2015,0,10,60
Cefuroxim Mylan 500 mg,Yes,6/02/2015,0,15,75
Cefuroxim Mylan 500 mg,Yes,7/02/2015,-2,10,83
Cefuroxim Mylan 500 mg,Yes,8/02/2015,-13,10,80
Cefuroxim Mylan 500 mg,Yes,9/02/2015,-4,15,91
Cefuroxim Mylan 500 mg,Yes,10/02/2015,-1,5,95
Cefuroxim Mylan 500 mg,Yes,11/02/2015,-11,15,99
Cefuroxim Mylan 500 mg,Yes,12/02/2015,-5,5,99
Cefuroxim Mylan 500 mg,Yes,13/02/2015,-2,15,112
Cefuroxim Mylan 500 mg,Yes,14/02/2015,-2,10,120
Cefuroxim Mylan 500 mg,Yes,15/02/2015,-1,0,119
Cefuroxim Mylan 500 mg,Yes,16/02/2015,-9,0,110
Cefuroxim Mylan 500 mg,Yes,17/02/2015,-2,0,108
Cefuroxim Mylan 500 mg,Yes,18/02/2015,-4,0,104
Cefuroxim Mylan 500 mg,Yes,19/02/2015,-7,0,97
Cefuroxim Mylan 500 mg,Yes,20/02/2015,-14,0,83
Cefuroxim Mylan 500 mg,Yes,21/02/2015,-13,5,75
Cefuroxim Mylan 500 mg,Yes,22/02/2015,-2,10,83
Cefuroxim Mylan 500 mg,Yes,23/02/2015,0,15,98
Cefuroxim Mylan 500 mg,Yes,24/02/2015,-11,10,97
Cefuroxim Mylan 500 mg,Yes,25/02/2015,-8,5,94
Cefuroxim Mylan 500 mg,Yes,26/02/2015,-5,10,99
Cefuroxim Mylan 500 mg,Yes,27/02/2015,-6,5,98
Cefuroxim Mylan 500 mg,Yes,28/02/2015,-9,0,89
Cefuroxim Mylan 500 mg,Yes,1/03/2015,-10,5,84
Cefuroxim Mylan 500 mg,Yes,2/03/2015,-3,0,81
Cefuroxim Mylan 500 mg,Yes,3/03/2015,-4,15,92
Cefuroxim Mylan 500 mg,Yes,4/03/2015,0,0,92
Cefuroxim Mylan 500 mg,Yes,5/03/2015,-15,5,82
Cefuroxim Mylan 500 mg,Yes,6/03/2015,-2,5,85
Cefuroxim Mylan 500 mg,Yes,7/03/2015,-7,15,93
Cefuroxim Mylan 500 mg,Yes,8/03/2015,0,5,98
Cefuroxim Mylan 500 mg,Yes,9/03/2015,-6,15,107
Cefuroxim Mylan 500 mg,Yes,10/03/2015,-5,15,117
Cefuroxim Mylan 500 mg,Yes,11/03/2015,-15,15,117
Cefuroxim Mylan 500 mg,Yes,12/03/2015,-12,0,105
Cefuroxim Mylan 500 mg,Yes,13/03/2015,-2,5,108
Cefuroxim Mylan 500 mg,Yes,14/03/2015,-8,0,100
Cefuroxim Mylan 500 mg,Yes,15/03/2015,0,15,115
Cefuroxim Mylan 500 mg,Yes,16/03/2015,-1,15,129
Cefuroxim Mylan 500 mg,Yes,17/03/2015,0,0,129
Cefuroxim Mylan 500 mg,Yes,18/03/2015,-12,0,117
Cefuroxim Mylan 500 mg,Yes,19/03/2015,-8,5,114
Cefuroxim Mylan 500 mg,Yes,20/03/2015,-11,5,108
Cefuroxim Mylan 500 mg,Yes,21/03/2015,-7,15,116
Cefuroxim Mylan 500 mg,Yes,22/03/2015,-5,5,116
Cefuroxim Mylan 500 mg,Yes,23/03/2015,0,10,126
Cefuroxim Mylan 500 mg,Yes,24/03/2015,-3,0,123
Cefuroxim Mylan 500 mg,Yes,25/03/2015,-7,0,116
Cefuroxim Mylan 500 mg,Yes,26/03/2015,-9,15,122
Cefuroxim Mylan 500 mg,Yes,27/03/2015,-12,5,115
Cefuroxim Mylan 500 mg,Yes,28/03/2015,-5,10,120
Cefuroxim Mylan 500 mg,Yes,29/03/2015,-5,5,120
Cefuroxim Mylan 500 mg,Yes,30/03/2015,0,15,135
Cefuroxim Mylan 500 mg,Yes,31/03/2015,-15,15,135
Cefuroxim Mylan 500 mg,Yes,1/04/2015,-9,15,141
Cefuroxim Mylan 500 mg,Yes,2/04/2015,-9,0,132
Cefuroxim Mylan 500 mg,Yes,3/04/2015,-6,0,126
Cefuroxim Mylan 500 mg,Yes,4/04/2015,-6,15,135
Cefuroxim Mylan 500 mg,Yes,5/04/2015,-5,15,145
Cefuroxim Mylan 500 mg,Yes,6/04/2015,-8,5,142
Cefuroxim Mylan 500 mg,Yes,7/04/2015,-2,15,155
Cefuroxim Mylan 500 mg,Yes,8/04/2015,-12,0,143
Cefuroxim Mylan 500 mg,Yes,9/04/2015,-4,15,154
Cefuroxim Mylan 500 mg,Yes,10/04/2015,-3,0,151
Cefuroxim Mylan 500 mg,Yes,11/04/2015,-7,5,149
Cefuroxim Mylan 500 mg,Yes,12/04/2015,-8,15,156
Cefuroxim Mylan 500 mg,Yes,13/04/2015,-6,0,150
Cefuroxim Mylan 500 mg,Yes,14/04/2015,-6,5,149
Cefuroxim Mylan 500 mg,Yes,15/04/2015,-14,10,145
Cefuroxim Mylan 500 mg,Yes,16/04/2015,-9,0,136
Cefuroxim Mylan 500 mg,Yes,17/04/2015,-9,15,142
Cefuroxim Mylan 500 mg,Yes,18/04/2015,0,5,147
Cefuroxim Mylan 500 mg,Yes,19/04/2015,-14,10,143
Cefuroxim Mylan 500 mg,Yes,20/04/2015,-1,10,152
Cefuroxim Mylan 500 mg,Yes,21/04/2015,-3,15,164
Cefuroxim Mylan 500 mg,Yes,22/04/2015,0,5,169
Cefuroxim Mylan 500 mg,Yes,23/04/2015,-6,10,173
Cefuroxim Mylan 500 mg,Yes,24/04/2015,-4,5,174
Cefuroxim Mylan 500 mg,Yes,25/04/2015,-12,5,167
Cefuroxim Mylan 500 mg,Yes,26/04/2015,-6,5,166
Cefuroxim Mylan 500 mg,Yes,27/04/2015,-14,5,157
Cefuroxim Mylan 500 mg,Yes,28/04/2015,-13,5,149
Cefuroxim Mylan 500 mg,Yes,29/04/2015,-4,10,155
Cefuroxim Mylan 500 mg,Yes,30/04/2015,-13,5,147
Cefuroxim Mylan 500 mg,Yes,1/05/2015,-8,5,144
Cefuroxim Mylan 500 mg,Yes,2/05/2015,-1,5,148
Cefuroxim Mylan 500 mg,Yes,3/05/2015,-8,15,155
Cefuroxim Mylan 500 mg,Yes,4/05/2015,0,10,165
Cefuroxim Mylan 500 mg,Yes,5/05/2015,-13,5,157
Cefuroxim Mylan 500 mg,Yes,6/05/2015,-5,5,157
Cefuroxim Mylan 500 mg,Yes,7/05/2015,-13,5,149
Cefuroxim Mylan 500 mg,Yes,8/05/2015,-7,5,147
Cefuroxim Mylan 500 mg,Yes,9/05/2015,-11,0,136
Cefuroxim Mylan 500 mg,Yes,10/05/2015,-5,0,131
Cefuroxim Mylan 500 mg,Yes,11/05/2015,-3,0,128
Cefuroxim Mylan 500 mg,Yes,12/05/2015,-9,10,129
Cefuroxim Mylan 500 mg,Yes,13/05/2015,-8,10,131
Cefuroxim Mylan 500 mg,Yes,14/05/2015,-11,15,135
Cefuroxim Mylan 500 mg,Yes,15/05/2015,-7,5,133
Cefuroxim Mylan 500 mg,Yes,16/05/2015,-9,10,134
Cefuroxim Mylan 500 mg,Yes,17/05/2015,-2,15,147
Cefuroxim Mylan 500 mg,Yes,18/05/2015,-15,5,137
Cefuroxim Mylan 500 mg,Yes,19/05/2015,-4,0,133
Cefuroxim Mylan 500 mg,Yes,20/05/2015,0,5,138
Cefuroxim Mylan 500 mg,Yes,21/05/2015,-9,5,134
Cefuroxim Mylan 500 mg,Yes,22/05/2015,-2,0,132
Cefuroxim Mylan 500 mg,Yes,23/05/2015,-15,0,117
Cefuroxim Mylan 500 mg,Yes,24/05/2015,-2,15,130
Cefuroxim Mylan 500 mg,Yes,25/05/2015,-10,15,135
Cefuroxim Mylan 500 mg,Yes,26/05/2015,-10,10,135
Cefuroxim Mylan 500 mg,Yes,27/05/2015,-10,0,125
Cefuroxim Mylan 500 mg,Yes,28/05/2015,-13,15,127
Cefuroxim Mylan 500 mg,Yes,29/05/2015,-7,5,125
Cefuroxim Mylan 500 mg,Yes,30/05/2015,-3,5,127
Cefuroxim Mylan 500 mg,Yes,31/05/2015,-4,5,128
Cefuroxim Mylan 500 mg,Yes,1/06/2015,-4,15,139
Cefuroxim Mylan 500 mg,Yes,2/06/2015,-1,0,138
Cefuroxim Mylan 500 mg,Yes,3/06/2015,-1,5,142
Cefuroxim Mylan 500 mg,Yes,4/06/2015,-11,0,131
Cefuroxim Mylan 500 mg,Yes,5/06/2015,-6,5,130
